,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
0,      'CASE',      'RAD?',        'CM',      'MACH',        'RE',       'ALT',         'Q',      'BETA',       'PHI',      'SREF',       'XCG',      'XMRP',      'LREF',    'LATREF',  'DEFL_1_1',  'DEFL_1_2',  'DEFL_1_3',  'DEFL_1_4',  'DEFL_2_1',  'DEFL_2_2',  'DEFL_2_3',  'DEFL_2_4',     'ALPHA',        'CN',        'CM',        'CA',     'CA_0B',     'CA_FB',        'CY',       'CLN',       'CLL',        'CL',        'CD',     'CL/CD',    'X-C.P.',       'CNA',       'CMA',       'CYB',      'CLNB',      'CLLB',       'CNQ',       'CMQ',       'CAQ',      'CNAD',      'CMAD',       'CYQ',      'CLNQ',      'CLLQ',       'CYR',      'CLNR',      'CLLR',       'CYP',      'CLNP',      'CLLP',       'CNP',       'CMP',       'CAP',       'CNR',       'CMR',       'CAR',     'BA_CN',     'BA_CM',     'BA_CA',     'BA_CY',    'BA_CLN',    'BA_CLL',     'BA_CL',     'BA_CD',  'BA_CL/CD', 'BA_X-C.P.',    'BA_CNA',    'BA_CMA',    'BA_CYB',   'BA_CLNB',   'BA_CLLB',    'BA_CNQ',    'BA_CMQ',    'BA_CAQ',   'BA_CNAD',   'BA_CMAD',    'BA_CYQ',   'BA_CLNQ',   'BA_CLLQ',    'BA_CYR',   'BA_CLNR',   'BA_CLLR',    'BA_CYP',   'BA_CLNP',   'BA_CLLP',    'BA_CNP',    'BA_CMP',    'BA_CAP',    'BA_CNR',    'BA_CMR',    'BA_CAR',    'B+1_CN',    'B+1_CM',    'B+1_CA',    'B+1_CY',   'B+1_CLN',   'B+1_CLL',    'B+1_CL',    'B+1_CD', 'B+1_CL/CD','B+1_X-C.P.',   'B+1_CNA',   'B+1_CMA',   'B+1_CYB',  'B+1_CLNB',  'B+1_CLLB',   'B+1_CNQ',   'B+1_CMQ',   'B+1_CAQ',  'B+1_CNAD',  'B+1_CMAD',   'B+1_CYQ',  'B+1_CLNQ',  'B+1_CLLQ',   'B+1_CYR',  'B+1_CLNR',  'B+1_CLLR',   'B+1_CYP',  'B+1_CLNP',  'B+1_CLLP',   'B+1_CNP',   'B+1_CMP',   'B+1_CAP',   'B+1_CNR',   'B+1_CMR',   'B+1_CAR',,
1,1,1,0.1272,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,-30,-3.889,0.1272,0.2313,0.2313,0.441,0,0,0,-3.2524,2.1448,-1.5164,-0.0327,7.2896,-0.1473,-6.8988,-0.0191,0.0273,6.0512,-0.8498,-0.6813,3.1052,-0.2067,0,0,0,2.3978,-0.6033,-0.0524,0.1116,-0.0474,-0.0539,0.0039,-0.0014,-0.0033,-0.1142,0.0121,0.0211,-1.965,0.0373,0.0013,0,0,0,-1.7011,0.9836,-1.7295,-0.019,4.6485,-0.2562,-3.4044,0.0647,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,-3.2739,-0.0096,0.0128,0,0,0,-2.8289,1.648,-1.7165,0.0029,7.5017,-0.1831,-6.8821,-0.0264,0.0287,4.0962,-0.4136,0,3.0402,-0.1915,0,0,0,1.9327,-0.4862,-0.0199,-0.0592,0.0002,-0.0288,-0.0056,-0.0002,0,-0.0537,-0.0019,0,,
2,1,1,0.115,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,-25,-3.2474,0.115,0.2503,0.2503,0.4688,0,0,0,-2.8374,1.5993,-1.7742,-0.0354,7.4142,-0.1315,-6.7056,-0.1105,0.0219,4.7992,-0.7379,-0.4705,3.1052,-0.2067,0,0,0,1.9913,-0.5009,-0.0318,-0.1098,0.0093,-0.0361,-0.004,-0.0002,-0.0003,-0.1158,0.0146,0.0254,-1.5677,0.0176,0.0156,0,0,0,-1.4142,0.6766,-2.0901,-0.0112,4.4577,-0.195,-3.3629,0.0378,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,-2.6258,-0.0225,0.0271,0,0,0,-2.3683,1.1343,-2.088,0.0086,7.3532,-0.1132,-6.9442,-0.0632,0.0202,3.4641,-0.4342,0,3.0402,-0.1915,0,0,0,1.96,-0.4871,-0.0183,-0.049,0,-0.0259,-0.0047,-0.0001,0,-0.0437,-0.0016,0,,
3,1,1,0.1042,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,-20,-2.595,0.1042,0.2622,0.2622,0.4876,0,0,0,-2.3488,1.1339,-2.0715,-0.0402,7.2595,-0.0751,-6.5196,-0.1663,0.0157,3.9249,-0.6787,-0.3506,3.1052,-0.2067,0,0,0,1.9731,-0.489,-0.0273,-0.0813,0.0098,-0.0286,-0.0058,0.0001,0.0004,-0.1108,0.0156,0.0271,-1.187,0.0032,0.0308,0,0,0,-1.1049,0.4349,-2.5405,-0.0027,4.2131,-0.1326,-3.2626,0.0091,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,-1.9905,-0.0294,0.0423,0,0,0,-1.856,0.7206,-2.5757,0.0148,7.1154,-0.042,-6.8368,-0.1021,0.0145,2.9427,-0.4532,0,3.0402,-0.1915,0,0,0,1.9983,-0.4882,-0.015,-0.0279,0.0003,-0.023,-0.0046,-0.0001,0,-0.0347,-0.0013,0,,
4,1,1,0.1019,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,-15,-1.9804,0.1019,0.276,0.276,0.5067,0,0,0,-1.8415,0.7791,-2.3635,-0.0515,6.6813,0.0189,-6.2161,-0.1805,0.0035,3.2362,-0.6216,-0.2378,3.1052,-0.2067,0,0,0,2.0114,-0.4825,-0.0262,-0.0297,-0.0009,-0.0212,-0.0051,0.0001,0.0004,-0.1024,0.0161,0.0278,-0.8323,-0.0055,0.0445,0,0,0,-0.7924,0.2584,-3.0662,0.0067,3.8677,-0.0691,-3.1082,-0.0205,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,-1.3839,-0.0299,0.0561,0,0,0,-1.3222,0.4123,-3.2065,0.0216,6.6427,0.0282,-6.432,-0.1366,0.0044,2.5788,-0.4687,0,3.0402,-0.1915,0,0,0,2.0712,-0.4885,-0.0118,-0.0286,-0.0004,-0.0195,-0.0039,-0.0001,0,-0.0255,-0.001,0,,
5,1,1,0.1075,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,-10,-1.4288,0.1075,0.2897,0.2897,0.5238,0,0,0,-1.3568,0.5334,-2.5439,-0.0752,5.9316,0.0751,-5.5353,-0.1754,0.003,2.8292,-0.5792,-0.1541,3.1052,-0.2067,0,0,0,2.1546,-0.4868,-0.0239,0.0084,-0.0052,-0.0163,-0.0008,-0.0006,-0.0008,-0.0908,0.0158,0.0273,-0.5119,-0.0088,0.055,0,0,0,-0.4946,0.143,-3.4584,0.0172,3.4357,-0.0073,-2.9061,-0.0497,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,-0.8311,-0.0244,0.0665,0,0,0,-0.807,0.2098,-3.846,0.0294,5.8668,0.0909,-5.6306,-0.1594,0.001,2.4087,-0.4787,0,3.0402,-0.1915,0,0,0,2.1934,-0.4869,-0.0071,-0.0118,-0.0002,-0.015,-0.003,-0.0001,0,-0.0163,-0.0007,0,,
6,1,1,0.115,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,-5,-0.9451,0.115,0.2936,0.2936,0.5294,0,0,0,-0.9159,0.3749,-2.4433,-0.1217,5.252,0.0288,-5.0158,-0.072,0.0004,2.8098,-0.578,-0.1472,3.1052,-0.2067,0,0,0,2.5305,-0.5345,-0.0199,0.0029,-0.0041,-0.0176,0.0055,-0.0018,-0.0029,-0.0645,0.0119,0.0207,-0.2327,-0.0068,0.0611,0,0,0,-0.2265,0.0811,-2.7923,0.0293,2.933,0.0505,-2.6651,-0.0774,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,-0.3599,-0.014,0.0726,0,0,0,-0.3522,0.1037,-3.3963,0.0389,4.7614,0.1401,-4.586,-0.1713,-0.0006,2.4128,-0.4824,0,3.0402,-0.1915,0,0,0,2.3411,-0.4841,-0.0028,-0.0022,-0.0001,-0.0102,-0.0023,-0.0001,0,-0.0088,-0.0004,0,,
7,1,1,0.1125,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,0,-0.5122,0.1125,0.2696,0.2696,0.5052,0,0,0,-0.5122,0.2696,-1.8994,-0.2197,5.1805,-0.0756,-4.8518,0.0928,0,2.9725,-0.5836,-0.1612,3.1052,-0.2067,0,0,0,2.9866,-0.5965,-0.0143,0,-0.005,-0.018,0.0015,-0.0003,-0.0005,-0.058,0.0127,0.0216,0,0,0.0629,0,0,0,0,0.0629,0,0.0293,2.6662,0.0781,-2.6235,-0.0826,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,0,0,0.0745,0,0,0,0,0.0745,0,0.0389,4.1237,0.1604,-3.7311,-0.1576,0,2.5404,-0.4813,0,3.0402,-0.1915,0,0,0,2.4966,-0.4813,0,0,0,-0.0056,0,0,0,0,0,0,,
8,1,1,0.1018,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,5,-0.0409,0.1018,0.2252,0.2252,0.461,0,0,0,-0.0604,0.2208,-0.2735,-2.4885,6.0105,-0.1336,-6.0643,0.156,0.0008,2.8511,-0.5806,-0.1573,3.1052,-0.2067,0,0,0,2.9901,-0.6313,-0.0062,0.0035,-0.008,-0.0299,0.0029,0,-0.0002,-0.0417,0.0114,0.0187,0.2327,0.0068,0.0611,0,0,0,0.2265,0.0811,2.7923,0.0293,2.933,0.0505,-2.6651,-0.0774,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,0.3599,0.014,0.0726,0,0,0,0.3522,0.1037,3.3963,0.0389,4.7614,0.1401,-4.586,-0.1713,0.0006,2.4267,-0.4818,0,3.0402,-0.1915,0,0,0,2.3411,-0.4841,0.0028,0.0022,0.0001,-0.0102,0.0023,0.0001,0,0.0088,0.0004,0,,
9,1,1,0.0892,0.4,8.90E+06,400,10820.5488,0,0,0.7519,3.2,0.4863,6.58,6.58,0,0,0,0,-20,-20,20,20,10,0.537,0.0892,0.1784,0.1784,0.4126,0,0,0,0.4978,0.2689,1.8511,0.1662,6.9633,-0.1433,-7.4199,0.2298,-0.0122,2.8875,-0.5813,-0.1673,3.1052,-0.2067,0,0,0,2.9167,-0.6465,0.0058,0.0121,-0.0104,-0.0421,0.003,0.0005,0,-0.0209,0.0087,0.0136,0.5119,0.0088,0.055,0,0,0,0.4946,0.143,3.4584,0.0172,3.4357,-0.0073,-2.9061,-0.0497,0,2.7391,-0.4668,0,2.8954,-0.1856,0,0,0,2.6953,-0.4668,0,0,0,0,0,0,0,0,0,0,0.8311,0.0244,0.0665,0,0,0,0.807,0.2098,3.846,0.0294,5.8668,0.0909,-5.6306,-0.1594,-0.001,2.4311,-0.4777,0,3.0402,-0.1915,0,0,0,2.1934,-0.4869,0.0071,0.0118,0.0002,-0.015,0.003,0.0001,0,0.0163,0.0007,0,,
